232	110	522	139
131	253	152	275
182	248	345	282
363	254	418	274
454	245	596	272
612	242	689	279
143	294	198	308
222	284	369	309
395	280	620	304
272	333	490	368
167	385	190	409
218	384	292	412
325	379	349	405
379	381	505	406
528	382	637	402
128	428	168	446
198	425	300	448
316	424	353	444
393	423	481	445
511	411	620	437
127	461	164	475
184	460	202	475
224	447	367	482
393	455	430	469
452	448	519	472
538	454	628	477
130	495	200	511
220	492	350	518
373	489	460	508
485	489	515	507
535	488	563	503
583	476	626	503
128	519	164	545
184	530	208	547
230	518	285	548
304	521	366	549
385	525	422	540
444	514	534	547
544	523	582	538
592	522	642	546
129	563	178	580
206	556	344	583
356	559	393	574
175	586	270	613
305	593	319	613
326	584	453	607
484	590	631	613
130	626	165	644
184	628	243	652
262	627	300	649
327	614	448	649
481	623	527	645
551	622	574	638
593	622	642	646
131	663	213	684
240	662	280	682
315	650	410	680
448	654	567	681
607	658	643	672
131	695	160	711
168	695	288	716
310	689	439	716
478	682	584	715
604	690	643	711
131	720	193	749
221	730	257	745
268	724	352	752
371	728	424	745
468	727	503	741
527	724	643	748
132	762	143	777
159	758	285	783
320	756	463	782
491	749	525	773
546	758	583	778
598	750	644	773
132	787	245	818
254	795	295	813
343	794	380	815
413	793	479	814
516	781	643	815
134	831	171	846
192	823	258	849
293	820	324	844
344	828	384	843
407	824	524	852
596	825	641	841
